City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Butaritari,KI,3.0707,172.7902,80.85,80,78,12.82,light rain
1,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,11.5,light snow
2,Souillac,MU,-20.5167,57.5167,80.37,94,75,26.46,moderate rain
3,Avarua,CK,-21.2078,-159.775,78.85,83,75,10.36,light rain
4,Hermanus,ZA,-34.4187,19.2345,71.8,65,63,15.1,broken clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,77.56,88,4,5.01,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,46.42,65,100,6.91,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,46.02,70,100,14.97,overcast clouds
8,Yellowknife,CA,62.456,-114.3525,-29.58,75,0,11.5,clear sky
9,Qaanaaq,GL,77.484,-69.3632,-13.86,65,87,8.16,overcast clouds
10,Muros,ES,42.7762,-9.0603,58.23,74,100,8.39,overcast clouds
11,Bathsheba,BB,13.2167,-59.5167,83.01,61,20,21.85,few clouds
12,Port Alfred,ZA,-33.5906,26.891,73.0,82,100,19.1,light rain
13,Lebu,CL,-37.6167,-73.65,64.02,77,88,12.08,overcast clouds
14,Hilo,US,19.7297,-155.09,68.4,74,15,1.32,few clouds
15,Krasnoselkup,RU,65.7,82.4667,5.74,96,100,12.55,light snow
16,Longyearbyen,SJ,78.2186,15.6401,17.44,67,0,2.3,clear sky
17,Port Augusta,AU,-32.5,137.7667,66.34,52,0,10.47,clear sky
18,Rikitea,PF,-23.1203,-134.9692,77.36,77,100,13.31,light rain
19,Bengkulu,ID,-3.8004,102.2655,77.77,88,100,6.06,overcast clouds
20,Qaqortoq,GL,60.7167,-46.0333,27.36,91,100,6.08,snow
21,Meadow Lake,US,34.8014,-106.5436,13.46,88,93,4.83,overcast clouds
22,Auki,SB,-8.7676,160.7034,77.52,90,90,5.08,light rain
23,Mataura,NZ,-46.1927,168.8643,53.47,75,100,0.69,overcast clouds
24,Nikolskoye,RU,59.7035,30.7861,15.69,100,83,1.28,broken clouds
25,Chokurdakh,RU,70.6333,147.9167,-28.91,100,94,3.78,overcast clouds
26,Albany,US,42.6001,-73.9662,42.13,93,100,0.43,overcast clouds
27,Gharo,PK,24.7424,67.5856,71.82,22,1,11.01,clear sky
28,Ciudad Bolivar,VE,8.1222,-63.5497,88.5,41,44,11.95,scattered clouds
29,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.59,100,100,11.5,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,75.11,51,20,5.01,few clouds
31,Atar,MR,20.5169,-13.0499,87.69,6,0,13.27,clear sky
32,Ikeda,JP,34.8221,135.4298,39.69,75,99,6.49,overcast clouds
33,Muslyumovo,RU,55.3033,53.1947,32.86,99,100,6.73,light snow
34,Pisco,PE,-13.7,-76.2167,73.45,73,0,4.61,clear sky
35,Port Elizabeth,ZA,-33.918,25.5701,75.49,69,20,23.02,few clouds
36,Merauke,ID,-8.4667,140.3333,80.62,80,90,13.98,overcast clouds
37,Jamestown,US,42.097,-79.2353,32.09,69,100,4.0,mist
38,Rocha,UY,-34.4833,-54.3333,83.61,59,50,1.72,scattered clouds
